index,rooms,retail_price,sqft,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15
5832,2.0,299000,1295.0,-3.6761376715984375,-6.042745608902558,2.957250012741683,-2.824139015271947,-4.083092853197133,-2.877250972173073,-0.43911833896771685,-2.7180905385701517,1.0095600001765068,9.879408158904338,8.838018234678435,0.3670235481039417,6.373871163962249,5.899173641050904,-3.5038064219342973
5584,3.0,299000,1566.0,-2.873064931216942,-3.9928275569785248,-1.9400021669156033,0.012406094483895111,-4.50843935813404,-2.5486721008906428,1.9181762482062792,0.29213230087198383,1.8003899851801641,1.94019872415868,0.941218042085175,0.8345772217073159,2.694120517248657,-2.328581064005355,0.25585377981138174
9408,5.0,499990,3068.0,0.6617763283616048,-4.3178631773106355,6.071687302526963,-2.6248073382265527,-1.2541583035188086,-1.405999313695303,3.3801115423274717,-2.5740209566566112,-4.211137784557116,-2.825503580935609,-2.934542719581326,1.0311627455381716,1.9438262520178229,2.9930278696221833,-2.027200935644833
4644,4.0,849900,2230.0,-2.0368019160271813,-0.7850940233363696,1.053889305432864,1.557522648928893,1.0312996595509247,0.1680044140685078,-0.6534269303302566,-0.09329493130172317,-2.011994477288049,-3.9519980310060325,0.6517478967651614,-3.638323834549989,0.07737763599488215,-1.5651638120775222,-1.0847135871053921
5739,3.0,333490,1898.0,0.23903047758052567,-0.8105046375304564,-3.380614598000477,-0.47129289199771557,-2.823089163762568,2.624429889600197,2.7050283261078327,-1.3179663821103893,-0.23680809024711336,0.28287671925198987,2.736168551194497,0.24862087873986718,-2.7110542414413294,-3.499306670683469,-5.01692474184588
10908,5.0,1600000,3128.0,-4.242279654291205,2.5055743114174267,2.545934317448337,4.831460095336843,3.0682937919784488,-0.2877306741163709,-3.670395196564092,-0.20251480948402711,-6.1625923254976795,-4.118605691092841,-0.8592394022296049,3.381832209966947,7.527632776061643,-7.399897371590896,5.36824522879652
11496,,449000,940.0,-0.25301337935102414,-2.7167911749920566,2.386086865316325,-0.624367177276913,-0.37398768497788254,2.581516248104332,-0.3185482318727608,3.1475530478572553,-8.377679692510668,-6.12942914938878,8.76268283417042,-0.6447326878700069,2.2095211992402577,4.831573588001315,2.3464061415896493
7472,3.0,719000,2855.0,4.901835307553797,1.5845295028599335,-2.7069565420175374,-2.8500338704718695,0.1887152583041443,5.303745653250558,-0.9796691303886137,-0.6172509485040665,1.9700070380472945,-1.587099236611141,2.5296109400911178,-3.3589909022761426,-6.107832866263188,3.106970755122663,1.7126801243839462
9082,4.0,449000,1943.0,-9.053477433975042,7.0645103637622535,-1.0675820996386363,6.484497186602729,6.933761574724735,-9.605125418578577,-2.637880180900316,-6.127780852366084,6.692020984817263,7.211359140203338,-9.83304027236359,-4.513431280756712,-1.5231513026213186,0.18607237032117274,-8.518700643584774
10157,3.0,695000,2946.0,-3.468559420024712,38.134108916866275,-0.8655046271075436,-23.530057075061954,11.622090087056366,-0.4348933583764818,5.588665457364737,-3.77292330032604,1.8222560538738453,-5.862484236230858,5.507402076232737,0.4251958155243982,2.6650187784379566,-3.6637163628170772,0.751845793478789
8515,2.0,265000,800.0,-1.2032392209176088,-6.206345457499178,8.239175624977126,7.6581471563550725,7.976754494282232,0.4642601988790218,6.425113664162235,2.3401128874156587,-1.0000418186153606,4.444874285033536,7.26150366383599,-0.7853632197508467,-3.1038096315878483,-1.8342707201271442,-3.9289113200120496
11793,3.0,499000,1250.0,-0.8142737613408129,-10.737129319351068,3.005570662814519,7.39526052158992,-1.4456169322721573,-0.4177044213535069,1.2852029135654535,3.205405587313404,-2.9836710759621003,8.453686013888017,5.7768617661644015,7.771757043768725,-2.0014220637405242,2.6235124341901166,-7.376096563748072
8655,5.0,299000,1548.0,-2.143377668024645,4.678909431972872,-9.329291304523377,-0.7740445488115899,1.3185749664517656,1.710275418028959,4.550178044264661,0.6162449711390764,1.8264046767139581,-4.710312336333796,-1.288789667102655,1.819143794392076,-2.7201179956205115,2.9465416095649677,2.6405051462622833
2237,4.0,645000,1507.0,-0.26531838631345595,-3.2849187610508572,-3.3645204440328444,-1.0886175082832317,-1.07871454476131,1.8892427292532945,1.425924767960259,3.2859754989015615,1.4208745855940257,-3.2586061105359097,0.6042831311086945,-3.4037550580377163,4.855361572629887,-3.0632355037674333,-1.6425405592926239
2392,3.0,699999,1733.0,-3.4686275027238547,-0.41569507779614256,-2.534596437192132,-2.1772452446618056,0.4886037408002995,-1.5036699940572935,1.9404458834432765,-4.748040902518111,0.9588945901502979,2.9984401491584487,-1.8157591811631026,-5.995541691637879,4.782315945599867,3.949428355665867,-4.71860414183184
10986,5.0,1650000,3769.0,-4.591315252352376,-3.4844515382240617,3.079609721120275,-4.168497309108144,-0.7161976377887677,4.061295796984854,-0.1976340439413504,-4.09146472154826,3.328220997955309,1.6809523996537212,-7.712277984833122,5.621104296222546,4.921971340938484,4.911926572017539,2.9256892759078927
3398,5.0,1545000,3418.0,-4.868262152441519,-0.7689027345415902,1.288585851227814,-1.1653657917468458,-2.6196577861896464,-2.348044426390269,2.612819891770545,-1.9861984430102357,0.7789659076112341,-3.067902596322135,-3.9119205996517343,0.7722438812122729,-2.8815527477974054,7.532782186494992,3.1813706113096205
11413,2.0,394900,873.0,3.1756439519569137,1.7133714271396905,0.43420347441579465,2.3545774111042754,1.6507820216742295,0.30920492215661316,1.749356919850259,0.6295922225511039,0.8143643688261144,-1.880781435981914,-1.2916384664571712,-2.569994622849131,4.245997742403647,-0.8101245527845612,-8.188277892758013
4797,4.0,915000,2308.0,-8.762658732795995,93.37047610647005,5.202620924285189,22.73435604381505,-31.680825710113186,19.49973053931886,0.8924434352133018,-14.677531401602272,6.169947271406999,2.616677884091126,-15.645816083497497,0.9253053114419502,-21.445071832282835,12.908212983702505,-7.123982001731107
